667906.09, +19.88, 12377.09, 12412.62, 12326.89, 12342.24, 12315.31, 12359.15
667916.19, +19.88, 12377.09, 12413.56, 12325.63, 12343.17, 12316.25, 12361.34
667926.30, +19.94, 12378.03, 12412.62, 12327.82, 12343.17, 12318.44, 12360.09
667936.40, +19.88, 12380.24, 12413.56, 12330.96, 12346.31, 12318.44, 12362.29
667946.50, +19.88, 12382.44, 12413.56, 12328.76, 12346.31, 12319.38, 12362.29
667956.61, +19.94, 12381.18, 12414.50, 12328.76, 12346.31, 12319.38, 12365.43
667966.71, +19.94, 12381.18, 12416.71, 12331.89, 12347.25, 12322.50, 12365.43
667976.81, +19.94, 12382.12, 12417.66, 12331.89, 12349.45, 12322.50, 12366.37
667986.91, +19.94, 12382.12, 12417.66, 12335.03, 12350.39, 12322.50, 12366.37
667997.01, +19.88, 12385.27, 12417.66, 12335.03, 12350.39, 12322.50, 12367.31
668007.12, +19.88, 12385.27, 12420.81, 12335.97, 12351.33, 12323.44, 12367.31
668017.22, +19.94, 12388.42, 12421.76, 12335.97, 12351.33, 12326.57, 12368.25
668027.32, +19.94, 12388.42, 12421.76, 12336.91, 12351.33, 12326.57, 12370.45
668037.42, +19.94, 12389.36, 12422.70, 12336.91, 12354.47, 12326.57, 12370.45
668047.52, +19.88, 12389.36, 12424.92, 12340.04, 12355.41, 12327.51, 12373.59
668057.62, +19.88, 12392.51, 12425.86, 12340.04, 12357.61, 12327.51, 12374.53
668067.73, +19.88, 12390.30, 12428.08, 12340.04, 12355.41, 12327.51, 12376.73
668077.83, +19.88, 12393.45, 12429.02, 12340.98, 12358.55, 12330.63, 12376.41
668087.93, +19.88, 12396.60, 12429.96, 12344.12, 12359.49, 12331.57, 12378.61
668098.04, +19.88, 12396.60, 12429.96, 12344.12, 12359.49, 12331.57, 12379.56
668108.14, +19.88, 12397.55, 12430.90, 12346.31, 12360.43, 12333.76, 12379.56
668118.24, +19.88, 12397.55, 12433.12, 12345.05, 12362.63, 12334.70, 12379.56
668128.34, +19.88, 12398.49, 12433.12, 12347.25, 12363.57, 12334.70, 12380.50
668138.44, +19.88, 12400.70, 12434.07, 12348.19, 12364.51, 12335.64, 12382.70
668148.54, +19.88, 12401.64, 12436.29, 12350.39, 12365.77, 12335.64, 12383.64
668158.64, +19.88, 12401.64, 12437.23, 12351.33, 12366.71, 12337.84, 12385.85
668168.75, +19.88, 12403.86, 12437.23, 12351.33, 12366.71, 12338.77, 12386.79
668178.85, +19.88, 12402.58, 12438.17, 12352.27, 12367.65, 12338.77, 12386.79
668188.95, +19.88, 12401.64, 12438.17, 12352.27, 12369.86, 12339.71, 12386.79
668199.05, +19.88, 12402.58, 12435.95, 12352.27, 12369.86, 12339.71, 12386.79
668209.16, +19.88, 12402.58, 12439.45, 12352.27, 12368.59, 12339.71, 12385.85
668219.26, +19.88, 12403.86, 12437.23, 12353.21, 12370.80, 12341.91, 12383.64
668229.36, +19.81, 12401.64, 12435.01, 12353.21, 12370.80, 12340.65, 12383.64
668239.46, +19.81, 12401.64, 12437.23, 12353.21, 12370.80, 12342.85, 12382.70
668249.56, +19.81, 12403.86, 12434.07, 12353.21, 12370.80, 12342.85, 12382.70
668259.66, +19.88, 12401.64, 12434.07, 12355.41, 12370.80, 12342.85, 12382.70
668269.77, +19.88, 12401.64, 12437.23, 12356.35, 12370.80, 12342.85, 12385.85
668279.87, +19.88, 12402.58, 12437.23, 12356.35, 12370.80, 12343.78, 12386.79
668289.97, +19.88, 12404.80, 12435.01, 12356.35, 12371.74, 12343.78, 12385.85
668300.07, +19.88, 12403.53, 12437.23, 12359.49, 12371.74, 12345.98, 12385.85
668310.17, +19.88, 12404.80, 12437.23, 12357.29, 12373.94, 12346.92, 12384.58
668320.28, +19.81, 12407.95, 12438.17, 12357.29, 12371.74, 12346.92, 12386.79
668330.38, +19.81, 12405.74, 12438.17, 12359.49, 12374.88, 12346.92, 12387.73
668340.48, +19.88, 12406.68, 12441.34, 12360.43, 12375.82, 12347.86, 12387.73
668350.58, +19.88, 12408.90, 12439.12, 12360.43, 12375.82, 12347.86, 12390.88
668360.69, +19.88, 12409.84, 12441.34, 12361.37, 12375.82, 12350.99, 12390.88
668370.79, +19.88, 12409.84, 12442.28, 12363.57, 12376.76, 12350.99, 12394.03
668380.89, +19.81, 12410.78, 12442.28, 12361.37, 12378.97, 12350.99, 12394.03
668390.99, +19.81, 12410.78, 12445.45, 12364.51, 12379.91, 12351.93, 12394.03
668401.09, +19.81, 12410.78, 12445.45, 12364.51, 12379.91, 12351.93, 12392.76
668411.20, +19.81, 12413.00, 12443.22, 12365.45, 12379.91, 12354.13, 12394.03
668421.30, +19.88, 12410.78, 12445.45, 12366.71, 12379.91, 12355.07, 12394.97
668431.40, +19.81, 12413.00, 12445.45, 12365.45, 12383.06, 12355.07, 12394.97
668441.51, +19.88, 12413.00, 12446.39, 12368.59, 12383.06, 12355.07, 12394.97
668451.61, +19.88, 12416.15, 12448.61, 12366.39, 12383.06, 12356.01, 12398.12
668461.71, +19.75, 12416.15, 12447.33, 12368.59, 12383.06, 12358.21, 12398.12
668471.81, +19.88, 12417.10, 12449.56, 12368.59, 12386.21, 12356.01, 12398.12
668481.91, +19.88, 12418.04, 12449.56, 12369.53, 12384.94, 12359.15, 12399.06
668492.02, +19.88, 12418.04, 12450.50, 12371.74, 12387.15, 12359.15, 12400.00
668502.12, +19.81, 12422.14, 12456.84, 12372.68, 12388.09, 12362.29, 12407.25
668512.22, +19.81, 12425.30, 12457.78, 12375.82, 12389.03, 12363.22, 12408.19
668522.32, +19.88, 12428.47, 12460.95, 12373.62, 12391.24, 12363.22, 12410.40
668532.42, +19.81, 12426.25, 12464.12, 12376.76, 12394.39, 12364.17, 12411.34
668542.53, +19.81, 12427.19, 12459.67, 12378.97, 12395.34, 12366.37, 12413.56
668552.63, +19.81, 12429.41, 12461.90, 12379.91, 12395.34, 12367.31, 12413.56
668562.73, +19.81, 12429.41, 12461.90, 12379.91, 12395.34, 12367.31, 12411.34
668572.83, +19.81, 12426.25, 12460.95, 12379.91, 12395.34, 12367.31, 12410.40
668582.93, +19.81, 12428.47, 12460.95, 12377.71, 12393.13, 12367.31, 12408.19
668593.04, +19.81, 12429.41, 12460.95, 12379.91, 12395.34, 12367.31, 12411.34
668603.14, +19.75, 12430.36, 12461.90, 12384.00, 12397.22, 12370.45, 12414.50
668613.24, +19.75, 12432.58, 12462.84, 12381.79, 12399.43, 12371.39, 12414.50
668623.34, +19.81, 12431.30, 12462.84, 12387.15, 12402.58, 12372.33, 12412.28
668633.44, +19.81, 12434.46, 12463.78, 12388.09, 12401.31, 12374.53, 12414.50
668643.54, +19.88, 12436.68, 12466.01, 12389.03, 12404.47, 12377.68, 12415.44
668653.64, +19.81, 12435.40, 12469.18, 12389.97, 12406.68, 12378.61, 12417.66
668663.75, +19.81, 12438.57, 12466.95, 12393.13, 12407.62, 12379.56, 12419.54
668673.85, +19.81, 12440.79, 12472.36, 12396.28, 12408.57, 12380.50, 12420.48
668683.95, +19.81, 12442.68, 12472.02, 12397.22, 12411.72, 12382.70, 12423.64
668694.06, +19.81, 12449.96, 12479.31, 12400.37, 12415.82, 12386.79, 12435.01
668704.16, +19.81, 12451.85, 12482.49, 12404.47, 12418.98, 12387.73, 12435.01
